ISTITUZIONE;CONTRATTO;CATEGORIA_PARTENZA;QUALIFICA_PARTENZA;CATEGORIA_ARRIVO;QUALIFICA_ARRIVO;TIPO_PASSAGGIO;NUMERO_PASSAGGI
37;SSNA;MD;SD0035;MD;SD0036;O;1
37;SSNA;MD;SD0035;MD;SD0E33;O;2
37;SSNA;MD;SD0035;MD;SD0E34;O;2
37;SSNA;MD;SD0036;MD;SD0N33;O;1
37;SSNA;MD;SD0E34;MD;SD0035;O;1
37;SSNA;AT;AT;AT;AT;O;24
37;SSNA;OP;AOP870;OP;TOP059;O;1
37;SSNA;OP;OP;OP;OP;O;125
37;SSNA;PF;PF;PF;PF;O;202
37;SSNA;PT;PT;PT;PT;O;16
9899;SSNA;AT;AT;AT;AT;O;0
9899;SSNA;OP;OP;OP;OP;O;0
9899;SSNA;PF;PF;PF;PF;O;0
9899;SSNA;PT;PT;PT;PT;O;0
9899;SSNA;PT;TPT092;PT;APT017;O;1
9899;SSNA;DA;AD0S31;DA;AD0032;O;1
192;SSNA;PC;000061;DP;PD0S09;V;1
192;SSNA;BI;SD0A12;BI;SD0E12;O;2
192;SSNA;FI;SD0E41;FI;SD0E42;O;1
192;SSNA;AT;AT;AT;AT;O;49
192;SSNA;AT;TAT119;PF;TPF026;V;2
192;SSNA;OP;OP;OP;OP;O;5
192;SSNA;PF;PF;PF;PF;O;285
192;SSNA;PF;TPF026;DP;PD0S45;V;1
192;SSNA;PT;PT;PT;PT;O;14
192;SSNA;DT;TD0A01;DT;TD0S01;O;1
192;SSNA;DT;TD0A02;DT;TD0S02;O;4
192;SSNA;DT;TD0S02;DT;TD0C02;O;2
193;SSNA;AT;AT;AT;AT;O;0
193;SSNA;OP;OP;OP;OP;O;0
193;SSNA;PF;PF;PF;PF;O;0
193;SSNA;PF;TPF026;DT;TD0A02;V;1
193;SSNA;PT;PT;PT;PT;O;0
193;SSNA;DT;TD0A02;DT;TD0S02;O;1
193;SSNA;DT;TD0S02;PF;TPFCTS;V;1
194;SSNA;DG;0D0482;CH;SD0E16;V;1
194;SSNA;BI;SD0A12;BI;SD0E12;O;1
194;SSNA;CH;SD0E15;CH;SD0E16;O;2
194;SSNA;AT;AAT117;AT;TAT119;O;1
194;SSNA;AT;AAT117;PF;APF028;V;2
194;SSNA;AT;AT;AT;AT;O;0
194;SSNA;OP;OP;OP;OP;O;0
194;SSNA;PF;APF028;PF;TPF026;O;1
194;SSNA;PF;PF;PF;PF;O;0
194;SSNA;PF;SPFASE;PF;SPFPRV;O;3
194;SSNA;PF;TPFCTS;PF;TPF026;O;3
194;SSNA;PT;APT017;AT;AAT117;V;1
194;SSNA;PT;PT;PT;PT;O;0
194;SSNA;PT;TPT092;OP;TOP059;V;1
194;SSNA;DA;AD0A31;DA;AD0032;O;1
194;SSNA;DP;PD0044;DG;0D0482;V;1
194;SSNA;DT;TD0A02;DT;TD0S02;O;5
195;SSNA;BI;SD0E12;BI;SD0A12;O;1
195;SSNA;FI;SD0E42;DG;0D0482;V;1
195;SSNA;AT;AT;AT;AT;O;0
195;SSNA;OP;OP;OP;OP;O;0
195;SSNA;PF;PF;PF;PF;O;0
195;SSNA;PT;PT;PT;PT;O;0
195;SSNA;DT;TD0002;DG;0D0097;V;1
196;SSNA;BI;SD0E12;BI;SD0E13;O;1
196;SSNA;AT;AT;AT;AT;O;25
196;SSNA;OP;OP;OP;OP;O;2
196;SSNA;PF;PF;PF;PF;O;124
196;SSNA;PT;PT;PT;PT;O;2
199;SSNA;AT;AAT117;PF;APF028;V;1
199;SSNA;AT;AT;AT;AT;O;0
199;SSNA;AT;TAT119;PF;TPF026;V;12
199;SSNA;OP;AOP870;AT;AAT117;V;3
199;SSNA;OP;OP;OP;OP;O;0
199;SSNA;PF;PF;PF;PF;O;0
199;SSNA;PF;SPFPRV;PF;SPFASE;O;1
199;SSNA;PF;TPF026;PF;TPFCTS;O;1
199;SSNA;PF;TPF026;DT;TD0S02;V;1
199;SSNA;PF;TPFCTS;DT;TD0S02;V;1
199;SSNA;PT;PT;PT;PT;O;0
199;SSNA;DP;PD0A45;DP;PD0S45;O;2
199;SSNA;DT;TD0A02;DT;TD0S02;O;4
200;SSNA;CH;SD0A15;CH;SD0E15;O;1
200;SSNA;AT;AT;AT;AT;O;11
200;SSNA;OP;OP;OP;OP;O;0
200;SSNA;PF;APFCAS;DA;AD0612;V;1
200;SSNA;PF;PF;PF;PF;O;28
200;SSNA;PT;PT;PT;PT;O;3
200;SSNA;DT;TD0A02;DT;TD0S02;O;2
201;SSNA;AT;AT;AT;AT;O;0
201;SSNA;OP;OP;OP;OP;O;0
201;SSNA;PF;PF;PF;PF;O;0
201;SSNA;PF;TPF026;DT;TD0A02;V;1
201;SSNA;PT;APT017;AT;AAT117;V;1
201;SSNA;PT;PT;PT;PT;O;0
201;SSNA;DT;TD0A02;DT;TD0S02;O;1
202;SSNA;DG;0D0097;DT;TD0A02;V;1
202;SSNA;BI;SD0E12;BI;SD0A12;O;1
202;SSNA;BI;SD0E12;BI;SD0E13;O;1
202;SSNA;CH;SD0A15;CH;SD0E15;O;1
202;SSNA;FI;SD0E41;FI;SD0A41;O;2
202;SSNA;AT;AAT117;AT;PATINZ;O;1
202;SSNA;AT;AT;AT;AT;O;0
202;SSNA;OP;OP;OP;OP;O;0
202;SSNA;PF;APF028;PF;PPF872;O;1
202;SSNA;PF;PF;PF;PF;O;0
202;SSNA;PT;PT;PT;PT;O;0
202;SSNA;DA;AD0032;DG;0D0097;V;1
202;SSNA;DA;AD0A31;DA;AD0S31;O;2
202;SSNA;DT;TD0A02;DA;AD0032;V;1
9835;SSNA;AT;AAT117;PF;APF028;V;1
9835;SSNA;AT;AT;AT;AT;O;0
9835;SSNA;AT;TAT119;PF;TPF026;V;4
9835;SSNA;OP;OP;OP;OP;O;0
9835;SSNA;PF;APF028;DG;0D0163;V;1
9835;SSNA;PF;APF028;DA;AD0612;V;1
9835;SSNA;PF;PF;PF;PF;O;0
9835;SSNA;PF;TPF026;DG;0D0482;V;1
9835;SSNA;PF;TPF026;DT;TD0A02;V;1
9835;SSNA;PF;TPFCTS;DT;TD0S02;V;1
9835;SSNA;PT;0PTSPR;PT;APT017;O;1
9835;SSNA;PT;APT017;AT;AAT117;V;1
9835;SSNA;PT;PT;PT;PT;O;0
9841;SSNA;AT;AT;AT;AT;O;15
9841;SSNA;OP;OP;OP;OP;O;1
9841;SSNA;PF;PF;PF;PF;O;54
9841;SSNA;PT;PT;PT;PT;O;5
9855;SSNA;AT;AT;AT;AT;O;0
9855;SSNA;AT;TAT119;AT;AAT117;O;1
9855;SSNA;OP;OP;OP;OP;O;0
9855;SSNA;PF;APFCAS;DA;AD0A31;V;2
9855;SSNA;PF;PF;PF;PF;O;0
9855;SSNA;PT;PT;PT;PT;O;0
9855;SSNA;DT;TD0810;DT;TD0S02;O;2
9855;SSNA;DT;TD0C02;DG;0D0097;V;1
9855;SSNA;DT;TD0S02;DT;TD0C02;O;1
10042;SSNA;PC;000061;PF;APF028;V;4
10042;SSNA;CH;SD0E15;CH;SD0E16;O;1
10042;SSNA;AT;AAT117;PF;APF028;V;6
10042;SSNA;AT;AT;AT;AT;O;0
10042;SSNA;AT;TAT119;PF;APF028;V;1
10042;SSNA;AT;TAT119;PF;TPF026;V;12
10042;SSNA;AT;TAT162;PF;TPF026;V;1
10042;SSNA;AT;TATIFC;PF;TPF026;V;1
10042;SSNA;OP;AOP870;AT;AAT117;V;5
10042;SSNA;OP;OP;OP;OP;O;0
10042;SSNA;OP;TOP059;AT;AAT117;V;1
10042;SSNA;PF;APF028;PF;APFCAS;O;9
10042;SSNA;PF;PF;PF;PF;O;0
10042;SSNA;PF;TPF026;PF;TPFCTS;O;13
10042;SSNA;PT;APT017;OP;AOP870;V;6
10042;SSNA;PT;PT;PT;PT;O;0
10042;SSNA;PT;TPT092;OP;TOP059;V;5
10042;SSNA;DA;AD0A31;DA;AD0S31;O;1
10042;SSNA;DT;TD0A02;DT;TD0S02;O;2
10081;SSNA;AT;AT;AT;AT;O;18
10081;SSNA;AT;TAT119;AT;TATIFC;O;4
10081;SSNA;OP;OP;OP;OP;O;1
10081;SSNA;PF;PF;PF;PF;O;56
10081;SSNA;PT;APT017;PT;0PTSPR;O;2
10081;SSNA;PT;PT;PT;PT;O;4
10081;SSNA;DP;PD0A43;DT;TD0A02;V;1
10081;SSNA;DT;TD0A02;DT;TD0S02;O;2
10610;SSNA;CH;SD0A15;CH;SD0E16;O;1
10610;SSNA;AT;AT;AT;AT;O;0
10610;SSNA;OP;OP;OP;OP;O;0
10610;SSNA;PF;PF;PF;PF;O;0
10610;SSNA;PF;SPFPRV;PF;TPF026;O;4
10610;SSNA;PF;SPFTCN;PF;TPF026;O;2
10610;SSNA;PT;PT;PT;PT;O;0
11913;SSNA;AT;AT;AT;AT;O;46
11913;SSNA;OP;OP;OP;OP;O;2
11913;SSNA;PF;PF;PF;PF;O;130
11913;SSNA;PT;PT;PT;PT;O;22
11112;SSNA;AT;AT;AT;AT;O;0
11112;SSNA;OP;AOP870;AT;AAT117;V;3
11112;SSNA;OP;OP;OP;OP;O;0
11112;SSNA;PF;PF;PF;PF;O;0
11112;SSNA;PT;PT;PT;PT;O;0
11079;SSNA;MD;SD0035;MD;SD0036;O;1
11079;SSNA;MD;SD0035;MD;SD0E33;O;1
11079;SSNA;MD;SD0036;MD;SD0035;O;2
11079;SSNA;PS;SD0SE1;PS;SD0CO1;O;1
11079;SSNA;AT;AT;AT;AT;O;26
11079;SSNA;OP;OP;OP;OP;O;32
11079;SSNA;PF;PF;PF;PF;O;191
11079;SSNA;PT;PT;PT;PT;O;5
12895;SSNA;MD;SD0E34;MD;SD0E33;O;1
12895;SSNA;AT;AAT117;PF;APF028;V;2
12895;SSNA;AT;AT;AT;AT;O;0
12895;SSNA;AT;TAT119;PF;TPF026;V;2
12895;SSNA;OP;OP;OP;OP;O;0
12895;SSNA;PF;PF;PF;PF;O;0
12895;SSNA;PF;SPFINF;PS;SD0AI1;V;1
12895;SSNA;PT;PT;PT;PT;O;0
12895;SSNA;DP;PD0A45;DP;PD0S45;O;1
14013;SSNA;MD;SD0035;MD;SD0E34;O;1
14013;SSNA;AT;AT;AT;AT;O;2
14013;SSNA;OP;OP;OP;OP;O;0
14013;SSNA;PF;APF028;PF;TPF026;O;1
14013;SSNA;PF;PF;PF;PF;O;7
14013;SSNA;PT;PT;PT;PT;O;0
10315;SSNA;AT;AT;AT;AT;O;0
10315;SSNA;OP;KOP660;OP;TOP059;O;1
10315;SSNA;OP;OP;OP;OP;O;0
10315;SSNA;PF;PF;PF;PF;O;0
10315;SSNA;PT;PT;PT;PT;O;0
10411;SSNA;AT;AAT117;PF;APF028;V;2
10411;SSNA;AT;AT;AT;AT;O;1
10411;SSNA;AT;TAT119;PF;TPF026;V;1
10411;SSNA;OP;AOP870;AT;AAT117;V;2
10411;SSNA;OP;OP;OP;OP;O;3
10411;SSNA;PF;PF;PF;PF;O;4
10411;SSNA;PT;APT017;OP;AOP870;V;3
10411;SSNA;PT;PT;PT;PT;O;1
10456;SSNA;MD;SD0N33;MD;SD0E34;O;1
10456;SSNA;AT;AT;AT;AT;O;1
10456;SSNA;OP;0OP269;OP;KOP660;O;8
10456;SSNA;OP;OP;OP;OP;O;14
10456;SSNA;PF;PF;PF;PF;O;14
10456;SSNA;PT;PT;PT;PT;O;2
10490;SSNA;MD;SD0035;MD;SD0E34;O;4
10490;SSNA;AT;AT;AT;AT;O;41
10490;SSNA;OP;OP;OP;OP;O;96
10490;SSNA;PF;PF;PF;PF;O;123
10490;SSNA;PF;SPFINF;PF;SPFTCN;O;4
10490;SSNA;PF;TPFCTS;PF;SPFASE;O;1
10490;SSNA;PT;APT017;AT;AAT117;V;1
10490;SSNA;PT;PT;PT;PT;O;100
10490;SSNA;PT;TPT092;AT;AAT117;V;1
10490;SSNA;PT;TPT092;OP;TOP059;V;1
10535;SSNA;MD;SD0035;MD;SD0036;O;1
10535;SSNA;MD;SD0036;MD;SD0035;O;1
10535;SSNA;AT;AT;AT;AT;O;0
10535;SSNA;OP;OP;OP;OP;O;0
10535;SSNA;PF;PF;PF;PF;O;0
10535;SSNA;PT;PT;PT;PT;O;0
10535;SSNA;DA;AD0032;DG;0D0097;V;1
10569;SSNA;MD;SD0E34;MD;SD0E33;O;1
10569;SSNA;AT;AT;AT;AT;O;0
10569;SSNA;OP;OP;OP;OP;O;0
10569;SSNA;PF;PF;PF;PF;O;0
10569;SSNA;PT;PT;PT;PT;O;0
10569;SSNA;DP;PD0A09;DA;AD0A31;V;1
10710;SSNA;AT;AT;AT;AT;O;0
10710;SSNA;OP;OP;OP;OP;O;5
10710;SSNA;PF;PF;PF;PF;O;4
10710;SSNA;PT;PT;PT;PT;O;3
10842;SSNA;AT;AT;AT;AT;O;0
10842;SSNA;OP;OP;OP;OP;O;0
10842;SSNA;PF;PF;PF;PF;O;0
10842;SSNA;PT;0PTSPR;OP;KOP660;V;1
10842;SSNA;PT;0PTSPR;PT;TPT092;O;2
10842;SSNA;PT;PT;PT;PT;O;0
10843;SSNA;AT;AT;AT;AT;O;0
10843;SSNA;OP;OP;OP;OP;O;3
10843;SSNA;PF;PF;PF;PF;O;0
10843;SSNA;PT;PT;PT;PT;O;1
11873;SSNA;AT;AT;AT;AT;O;0
11873;SSNA;OP;OP;OP;OP;O;0
11873;SSNA;PF;PF;PF;PF;O;0
11873;SSNA;PT;0PTSPR;OP;KOP660;V;4
11873;SSNA;PT;PT;PT;PT;O;0
8624;SSNA;BI;SD0A12;FM;SD0A38;V;3
8624;SSNA;FM;SD0E38;BI;SD0E12;V;1
8624;SSNA;MD;SD0035;MD;SD0036;O;3
8624;SSNA;MD;SD0035;MD;SD0E33;O;1
8624;SSNA;MD;SD0035;MD;SD0E34;O;1
8624;SSNA;MD;SD0E34;MD;SD0035;O;1
8624;SSNA;AT;AT;AT;AT;O;0
8624;SSNA;AT;TAT119;PF;TPF026;V;1
8624;SSNA;OP;OP;OP;OP;O;0
8624;SSNA;PF;PF;PF;PF;O;0
8624;SSNA;PT;0PTSPR;PT;TPT092;O;1
8624;SSNA;PT;APT017;AT;AAT117;V;1
8624;SSNA;PT;PT;PT;PT;O;0
8624;SSNA;PT;TPT092;OP;TOP059;V;1
8624;SSNA;RR;N16695;PF;SPFINF;V;2
8624;SSNA;RR;N16695;PF;SPFTCN;V;3
8624;SSNA;RR;N18694;BI;SD0A12;V;11
8624;SSNA;RR;N18694;RR;N16695;O;1
8624;SSNA;DA;AD0A31;DA;AD0S31;O;1
8624;SSNA;DP;PD0A45;DP;PD0046;O;1
8624;SSNA;DP;PD0A45;DP;PD0S45;O;1
8626;SSNA;BI;SD0A12;BI;SD0E12;O;4
8626;SSNA;BI;SD0A12;BI;SD0E13;O;1
8626;SSNA;BI;SD0E12;BI;SD0A12;O;2
8626;SSNA;FM;SD0A38;FM;SD0E38;O;1
8626;SSNA;MD;SD0035;MD;SD0E34;O;11
8626;SSNA;MD;SD0036;MD;SD0035;O;1
8626;SSNA;MD;SD0E34;MD;SD0035;O;1
8626;SSNA;MD;SD0E34;MD;SD0E33;O;1
8626;SSNA;AT;AT;AT;AT;O;0
8626;SSNA;OP;OP;OP;OP;O;0
8626;SSNA;PF;PF;PF;PF;O;0
8626;SSNA;PT;PT;PT;PT;O;0
8626;SSNA;DT;TD0A70;DT;TD0S70;O;1
8627;SSNA;FM;SD0A38;FM;SD0E38;O;1
8627;SSNA;MD;SD0035;MD;SD0E33;O;1
8627;SSNA;MD;SD0035;MD;SD0E34;O;5
8627;SSNA;PS;SD0AI1;PS;SD0CO1;O;1
8627;SSNA;PS;SD0SE1;PS;SD0AI1;O;1
8627;SSNA;AT;AT;AT;AT;O;6
8627;SSNA;OP;OP;OP;OP;O;9
8627;SSNA;PF;PF;PF;PF;O;45
8627;SSNA;PT;PT;PT;PT;O;4
8627;SSNA;DA;AD0A31;DA;AD0032;O;2
8628;SSNA;BI;SD0A12;BI;SD0E12;O;1
8628;SSNA;MD;SD0035;MD;SD0036;O;1
8628;SSNA;MD;SD0035;MD;SD0E33;O;1
8628;SSNA;MD;SD0035;MD;SD0E34;O;6
8628;SSNA;MD;SD0036;MD;SD0035;O;1
8628;SSNA;MD;SD0E34;MD;SD0035;O;4
8628;SSNA;MD;SD0E34;MD;SD0N34;O;1
8628;SSNA;MD;SD0N34;MD;SD0E33;O;1
8628;SSNA;MO;SD0047;MO;SD0A48;O;1
8628;SSNA;AT;AT;AT;AT;O;0
8628;SSNA;AT;TATIFC;PF;APF028;V;1
8628;SSNA;OP;AOP870;AT;AAT117;V;1
8628;SSNA;OP;OP;OP;OP;O;0
8628;SSNA;PF;PF;PF;PF;O;0
8628;SSNA;PF;SPFINF;AT;AAT117;V;2
8628;SSNA;PF;SPFINF;PT;APT017;V;1
8628;SSNA;PT;APT017;AT;AAT117;V;10
8628;SSNA;PT;APT017;PF;APF028;V;1
8628;SSNA;PT;PT;PT;PT;O;0
8628;SSNA;PT;TPT092;OP;KOP660;V;1
8629;SSNA;AT;AT;AT;AT;O;2
8629;SSNA;OP;OP;OP;OP;O;12
8629;SSNA;PF;PF;PF;PF;O;59
8629;SSNA;PT;PT;PT;PT;O;3
8630;SSNA;MD;SD0035;MD;SD0036;O;1
8630;SSNA;MD;SD0035;MD;SD0E34;O;8
8630;SSNA;MD;SD0E34;MD;SD0N34;O;1
8630;SSNA;MV;SD0072;MV;SD0A73;O;1
8630;SSNA;PL;SD0A65;PL;SD0E65;O;1
8630;SSNA;AT;AT;AT;AT;O;0
8630;SSNA;OP;OP;OP;OP;O;0
8630;SSNA;PF;PF;PF;PF;O;0
8630;SSNA;PT;PT;PT;PT;O;0
8630;SSNA;RR;N16695;RR;N18694;O;1
8630;SSNA;DA;AD0A31;DA;AD0S31;O;1
8632;SSNA;MD;SD0035;MD;SD0036;O;1
8632;SSNA;MD;SD0035;MD;SD0E34;O;3
8632;SSNA;MD;SD0036;MD;SD0035;O;3
8632;SSNA;AT;AAT117;PF;APF028;V;1
8632;SSNA;AT;AT;AT;AT;O;0
8632;SSNA;OP;OP;OP;OP;O;0
8632;SSNA;PF;PF;PF;PF;O;0
8632;SSNA;PT;PT;PT;PT;O;0
8632;SSNA;DA;AD0A31;DA;AD0S31;O;1
8633;SSNA;MD;SD0035;MD;SD0E34;O;14
8633;SSNA;MD;SD0036;MD;SD0N34;O;1
8633;SSNA;MD;SD0E34;MD;SD0E33;O;2
8633;SSNA;AT;AT;AT;AT;O;28
8633;SSNA;OP;OP;OP;OP;O;113
8633;SSNA;PF;PF;PF;PF;O;222
8633;SSNA;PT;PT;PT;PT;O;62
8634;SSNA;MD;SD0035;MD;SD0E34;O;1
8634;SSNA;MD;SD0E34;MD;SD0035;O;1
8634;SSNA;AT;AT;AT;AT;O;0
8634;SSNA;OP;OP;OP;OP;O;0
8634;SSNA;PF;PF;PF;PF;O;0
8634;SSNA;PT;PT;PT;PT;O;0
8634;SSNA;RR;N16695;PF;APF028;V;1
8634;SSNA;RR;N16695;RR;N18694;O;3
8634;SSNA;DA;AD0A31;DA;AD0032;O;2
8634;SSNA;DT;TD0A01;DT;TD0S01;O;1
8635;SSNA;MD;SD0E34;MD;SD0E33;O;1
8635;SSNA;AT;AT;AT;AT;O;4
8635;SSNA;OP;OP;OP;OP;O;6
8635;SSNA;PF;PF;PF;PF;O;59
8635;SSNA;PF;SPFINF;RR;N18694;V;2
8635;SSNA;PT;PT;PT;PT;O;5
8635;SSNA;DA;AD0612;DA;AD0A31;O;1
8636;SSNA;AT;AT;AT;AT;O;11
8636;SSNA;OP;OP;OP;OP;O;8
8636;SSNA;PF;PF;PF;PF;O;60
8636;SSNA;PT;PT;PT;PT;O;15
8637;SSNA;MD;SD0035;MD;SD0036;O;1
8637;SSNA;MD;SD0E34;MD;SD0N34;O;1
8637;SSNA;AT;AT;AT;AT;O;0
8637;SSNA;OP;OP;OP;OP;O;0
8637;SSNA;PF;PF;PF;PF;O;0
8637;SSNA;PT;PT;PT;PT;O;0
8638;SSNA;MD;SD0035;MD;SD0036;O;1
8638;SSNA;MD;SD0035;MD;SD0E34;O;1
8638;SSNA;MD;SD0036;MD;SD0035;O;4
8638;SSNA;MD;SD0N34;MD;SD0E34;O;1
8638;SSNA;PS;SD0AI3;PS;SD0AI1;O;1
8638;SSNA;AT;AAT117;PF;APF028;V;2
8638;SSNA;AT;AT;AT;AT;O;0
8638;SSNA;OP;AOP870;AT;AAT117;V;2
8638;SSNA;OP;OP;OP;OP;O;0
8638;SSNA;PF;PF;PF;PF;O;0
8638;SSNA;PF;SPFTCN;BI;SD0A12;V;1
8638;SSNA;PT;APT017;AT;AAT117;V;5
8638;SSNA;PT;PT;PT;PT;O;0
8638;SSNA;PT;TPT092;PT;0PTSPR;O;5
8638;SSNA;RR;N16695;PF;SPFTCN;V;2
8638;SSNA;RR;N18694;MD;SD0035;V;1
8638;SSNA;DA;AD0032;DA;AD0A31;O;1
9489;SSNA;BI;SD0E12;BI;SD0A12;O;1
9489;SSNA;FM;SD0A38;FM;SD0E38;O;1
9489;SSNA;MD;SD0035;MD;SD0036;O;1
9489;SSNA;MD;SD0035;MD;SD0E34;O;7
9489;SSNA;MD;SD0036;MD;SD0035;O;4
9489;SSNA;MD;SD0E34;MD;SD0035;O;1
9489;SSNA;AT;AT;AT;AT;O;0
9489;SSNA;OP;KOP660;OP;AOP870;O;1
9489;SSNA;OP;KOP660;PT;APT017;V;1
9489;SSNA;OP;KOP660;PT;TPT092;V;1
9489;SSNA;OP;OP;OP;OP;O;0
9489;SSNA;OP;TOP059;AT;TAT119;V;2
9489;SSNA;OP;TOP059;AT;TAT162;V;2
9489;SSNA;PF;PF;PF;PF;O;0
9489;SSNA;PT;PT;PT;PT;O;0
9489;SSNA;PT;TPT092;OP;TOP059;V;1
9489;SSNA;DA;AD0A31;DA;AD0032;O;1
9489;SSNA;DA;AD0A31;DA;AD0S31;O;1
9489;SSNA;DA;AD0S31;DA;AD0032;O;1
9489;SSNA;DP;PD0A09;DP;PD0S09;O;1
9489;SSNA;DP;PD0A45;DP;PD0S45;O;1
9489;SSNA;DP;PD0S45;DP;PD0046;O;1
9525;SSNA;BI;SD0A12;BI;SD0E12;O;1
9525;SSNA;FM;SD0E38;FM;SD0E39;O;1
9525;SSNA;MD;SD0035;MD;SD0E34;O;2
9525;SSNA;MD;SD0E34;MD;SD0E33;O;1
9525;SSNA;MO;SD0E48;MD;SD0036;V;1
9525;SSNA;AT;AT;AT;AT;O;0
9525;SSNA;OP;AOP870;MD;SD0036;V;1
9525;SSNA;OP;OP;OP;OP;O;0
9525;SSNA;PF;PF;PF;PF;O;0
9525;SSNA;PT;PT;PT;PT;O;0
10321;SSNA;MD;SD0035;MD;SD0036;O;1
10321;SSNA;MD;SD0035;MD;SD0E34;O;4
10321;SSNA;MD;SD0036;MD;SD0N34;O;1
10321;SSNA;AT;AT;AT;AT;O;0
10321;SSNA;AT;TAT119;PF;TPF026;V;1
10321;SSNA;OP;AOP870;AT;AAT117;V;3
10321;SSNA;OP;OP;OP;OP;O;0
10321;SSNA;PF;PF;PF;PF;O;0
10321;SSNA;PT;PT;PT;PT;O;0
10321;SSNA;DA;AD0032;DA;AD0A31;O;1
10323;SSNA;MD;SD0035;MD;SD0036;O;8
10323;SSNA;MD;SD0035;MD;SD0N34;O;1
10323;SSNA;MD;SD0036;MD;SD0035;O;2
10323;SSNA;MD;SD0036;MD;SD0N34;O;3
10323;SSNA;PS;SD0AI1;PS;SD0SE1;O;1
10323;SSNA;AT;AAT117;PF;APF028;V;1
10323;SSNA;AT;AAT117;PF;TPF026;V;1
10323;SSNA;AT;AT;AT;AT;O;23
10323;SSNA;OP;AOP870;AT;TAT119;V;1
10323;SSNA;OP;OP;OP;OP;O;58
10323;SSNA;PF;PF;PF;PF;O;298
10323;SSNA;PF;SPFINE;PS;SD0AI1;V;1
10323;SSNA;PF;TPF026;DP;PD0A45;V;1
10323;SSNA;PT;PT;PT;PT;O;35
10323;SSNA;DA;AD0032;DA;AD0S31;O;1
10323;SSNA;DA;AD0A31;DA;AD0032;O;1
10323;SSNA;DP;PD0A45;DP;PD0S45;O;1
10551;SSNA;MD;SD0035;MD;SD0E33;O;3
10551;SSNA;MD;SD0036;MD;SD0035;O;1
10551;SSNA;AT;AT;AT;AT;O;0
10551;SSNA;OP;OP;OP;OP;O;0
10551;SSNA;PF;PF;PF;PF;O;0
10551;SSNA;PT;PT;PT;PT;O;0
10551;SSNA;DA;AD0A31;DA;AD0032;O;1
10944;SSNA;MD;SD0035;MD;SD0036;O;7
10944;SSNA;MD;SD0035;MD;SD0E34;O;5
10944;SSNA;MD;SD0036;MD;SD0035;O;2
10944;SSNA;MD;SD0E34;MD;SD0035;O;2
10944;SSNA;MD;SD0E34;MD;SD0E33;O;1
10944;SSNA;AT;AAT117;RR;N18694;V;1
10944;SSNA;AT;AT;AT;AT;O;0
10944;SSNA;OP;OP;OP;OP;O;0
10944;SSNA;PF;PF;PF;PF;O;0
10944;SSNA;PF;SPFINE;PS;SD048B;V;2
10944;SSNA;PT;PT;PT;PT;O;0
11101;SSNA;DG;0D0482;MD;SD0E33;V;1
11101;SSNA;AT;AT;AT;AT;O;0
11101;SSNA;OP;OP;OP;OP;O;0
11101;SSNA;PF;PF;PF;PF;O;0
11101;SSNA;PT;PT;PT;PT;O;0
11101;SSNA;DA;AD0S31;DA;AD0032;O;2
14503;SSNA;MD;SD0035;MD;SD0E33;O;2
14503;SSNA;MD;SD0035;MD;SD0E34;O;3
14503;SSNA;MD;SD0036;MD;SD0035;O;1
14503;SSNA;MD;SD0E34;MD;SD0N34;O;1
14503;SSNA;AT;AAT117;PF;APF028;V;3
14503;SSNA;AT;AT;AT;AT;O;0
14503;SSNA;OP;AOP870;AT;AAT117;V;3
14503;SSNA;OP;AOP870;PF;APF028;V;1
14503;SSNA;OP;KOP660;PF;SPFINF;V;1
14503;SSNA;OP;OP;OP;OP;O;0
14503;SSNA;PF;APFCAS;DA;AD0A31;V;1
14503;SSNA;PF;PF;PF;PF;O;0
14503;SSNA;PF;SPFINE;PS;SD0AI1;V;1
14503;SSNA;PT;APT017;AT;AAT117;V;2
14503;SSNA;PT;PT;PT;PT;O;0
14503;SSNA;PT;TPT092;PT;APT017;O;1
14503;SSNA;DA;AD0S31;DA;AD0032;O;2
14503;SSNA;DP;PD0S45;DP;PD0046;O;1
8639;SSNA;BI;SD0E12;BI;SD0E13;O;1
8639;SSNA;MV;SD0E73;MV;SD0E74;O;1
8639;SSNA;AT;AAT117;PF;APF028;V;1
8639;SSNA;AT;AT;AT;AT;O;33
8639;SSNA;OP;OP;OP;OP;O;7
8639;SSNA;OP;TOP059;AT;TATIFC;V;1
8639;SSNA;PF;PF;PF;PF;O;22
8639;SSNA;PF;SPFASE;PF;TPFCTS;O;1
8639;SSNA;PT;PT;PT;PT;O;4
8639;SSNA;PT;TPT092;OP;TOP059;V;3
8639;SSNA;DA;AD0A31;DA;AD0S31;O;1
8640;SSNA;MV;SD0E74;DG;0D0482;V;1
8640;SSNA;AT;AT;AT;AT;O;0
8640;SSNA;OP;OP;OP;OP;O;0
8640;SSNA;PF;PF;PF;PF;O;0
8640;SSNA;PT;PT;PT;PT;O;0
8640;SSNA;DA;AD0A31;DA;AD0S31;O;2
8641;SSNA;MV;SD0E73;MV;SD0A73;O;1
8641;SSNA;MV;SD0E74;DG;0D0482;V;1
8641;SSNA;AT;AT;AT;AT;O;16
8641;SSNA;OP;OP;OP;OP;O;7
8641;SSNA;PF;PF;PF;PF;O;41
8641;SSNA;PT;APT017;AT;AAT117;V;1
8641;SSNA;PT;APT017;OP;AOP870;V;1
